GUID,GEOGDESC,Speakers2006,Speakers2011,Speakers2016,Speakers2022
2ae19629-22fa-13a3-e055-000000000001,RINVYLE,0.28874388254486133,0.34471803018268465,0.30412371134020616,0.3616109682947729
2ae19629-22fc-13a3-e055-000000000001,ROUNDSTONE,0.48293963254593175,0.4719626168224299,0.3811881188118812,0.3627684964200477
2ae19629-230b-13a3-e055-000000000001,SILLERNA,0.2702078521939954,0.3247663551401869,0.3148148148148148,0.3044496487119438
2ae19629-230c-13a3-e055-000000000001,SKANNIVE,0.9549248747913188,0.9346811819595645,0.936026936026936,0.9270833333333334
2ae19629-204f-13a3-e055-000000000001,ANNAGHDOWN,0.562461155997514,0.5807174887892377,0.5596175478065242,0.5645612073784237
2ae19629-2051-13a3-e055-000000000001,AUGHRIM,0.4397233201581028,0.5194003527336861,0.4893964110929853,0.48056244830438377
2ae19629-2069-13a3-e055-000000000001,BALLINTEMPLE,0.5101275318829708,0.5107758620689655,0.5071022727272727,0.5023071852340145
2ae19629-207f-13a3-e055-000000000001,BALLYNACOURTY,0.5550239234449761,0.5650224215246636,0.5742222222222222,0.6013986013986014
2ae19629-2098-13a3-e055-000000000001,BARNA,0.6790294627383016,0.6717334112832505,,0.6903066812705367
2ae19629-20a5-13a3-e055-000000000001,BELLEVILLE,0.3991683991683992,0.44548872180451127,0.41621621621621624,0.44178628389154706
2ae19629-20cb-13a3-e055-000000000001,CARNMORE,0.654164637116415,0.6134969325153374,,0.5444839857651246
2ae19629-20cc-13a3-e055-000000000001,CARROWBROWNE,0.5625744934445769,0.5811764705882353,0.5422993492407809,0.5471502590673575
2ae19629-20e2-13a3-e055-000000000001,CLAREGALWAY,0.5432309442548351,0.5453091684434968,,0.509706546275395
2ae19629-20f3-13a3-e055-000000000001,CLARINBRIDGE,0.5118389897395422,0.5237627007538512,,0.5491164241164241
2ae19629-2301-13a3-e055-000000000001,DEERPARK,0.41224122412241226,0.4381188118811881,0.43010752688172044,0.4455223880597015
2ae19629-2338-13a3-e055-000000000001,FURBOGH,0.7386172006745363,0.75,0.6913303437967115,0.6859934853420195
2ae19629-2339-13a3-e055-000000000001,GALWAY RURAL,0.5275590551181102,0.6611570247933884,0.4931506849315068,0.5270935960591133
2ae19629-2369-13a3-e055-000000000001,INISHMORE,0.8733221476510067,0.8511354079058032,0.8527397260273972,0.8464052287581699
2ae19629-23a5-13a3-e055-000000000001,KILCUMMIN,0.9204180064308681,0.926984126984127,,0.9083728278041074
2ae19629-23a8-13a3-e055-000000000001,KILLANNIN,0.8605927552140505,0.8776150627615062,0.869177403369673,0.8672397325692455
2ae19629-234e-13a3-e055-000000000001,LACKAGHBEG,0.5188356164383562,0.5042405551272167,0.5097902097902098,0.5079260237780714
2ae19629-237e-13a3-e055-000000000001,LISCANANAUN,0.5043002345582487,0.4992481203007519,0.4638472032742155,0.4861477572559367
2ae19629-237f-13a3-e055-000000000001,LISHEENAVALLA,0.48470588235294115,0.4968017057569296,0.509090909090909,0.49800796812749004
2ae19629-22d1-13a3-e055-000000000001,MOYCULLEN,0.6632896305125149,0.6479618845950238,,0.6202197802197802
2ae19629-22df-13a3-e055-000000000001,ORANMORE,0.4533213644524237,0.48291687914329423,,0.5064516129032258
2ae19629-2309-13a3-e055-000000000001,SELERNA,0.916793893129771,0.8916363636363637,,0.8695035460992908
2ae19629-2319-13a3-e055-000000000001,SLIEVEANEENA,0.740909090909091,0.7427385892116183,0.7210884353741497,0.7113259668508287
2ae19629-231a-13a3-e055-000000000001,SPIDDLE,0.7962962962962963,0.8253623188405798,,0.8088042049934296
